Countries,Years,Number of injurie firefighters
USA,2004,
Laos,2004,
Finland,2004,
Serbia,2004,
Slovenia,2004,
Ireland,2004,
Norway,2004,
Lithuania,2004,
Greece,2004,
Kuwait,2004,
Denmark,2004,
Slovakia,2004,
Netherlands,2004,
Singapore,2004,
Italy,2004,264
China,2004,
Belgium,2004,
Cyprus,2004,
Albania,2004,
Latvia,2004,
Estonia,2004,
Croatia,2004,
Bulgaria,2004,
UK,2004,
Sweden,2004,
Russia,2004,
Turkey,2004,
Germany,2004,
France,2004,
Ukraine,2004,
New Zealand,2004,
Poland,2004,
Portugal,2004,
Czechia,2004,
Hungary,2004,
Austria,2004,
Switzerland,2004,
Vietnam,2004,
Belarus,2004,
Uzbekistan,2004,
Romania,2004,
China,2005,
Slovenia,2005,
Ireland,2005,
Estonia,2005,
Lithuania,2005,
Greece,2005,
Vietnam,2005,
Norway,2005,
Kuwait,2005,
Netherlands,2005,
Albania,2005,
Laos,2005,
Belgium,2005,
Romania,2005,
Sweden,2005,
Cyprus,2005,
Latvia,2005,
Finland,2005,
Serbia,2005,
Switzerland,2005,
Singapore,2005,
Poland,2005,
Italy,2005,203
Germany,2005,
UK,2005,
Denmark,2005,
New Zealand,2005,
Croatia,2005,
USA,2005,
France,2005,
Hungary,2005,
Russia,2005,
Austria,2005,
Ukraine,2005,
Bulgaria,2005,
Uzbekistan,2005,
Slovakia,2005,
Czechia,2005,
Belarus,2005,
Portugal,2005,
Turkey,2005,
China,2006,
Italy,2006,218
New Zealand,2006,575
Estonia,2006,
Slovenia,2006,
Greece,2006,
Laos,2006,
Kuwait,2006,
Albania,2006,
Finland,2006,69
Serbia,2006,
Belgium,2006,
Latvia,2006,39
Cyprus,2006,
Norway,2006,
Netherlands,2006,16
Singapore,2006,
Lithuania,2006,30
Ireland,2006,
Slovakia,2006,
Denmark,2006,
Germany,2006,
Belarus,2006,
USA,2006,
Sweden,2006,
Croatia,2006,
Russia,2006,138
Ukraine,2006,
Poland,2006,
France,2006,
Bulgaria,2006,13
Turkey,2006,
Austria,2006,854
Romania,2006,
Vietnam,2006,
Czechia,2006,
Switzerland,2006,234
UK,2006,
Portugal,2006,
Hungary,2006,71
Uzbekistan,2006,
Slovenia,2007,
Norway,2007,
Finland,2007,69
Greece,2007,9
China,2007,
Netherlands,2007,
Lithuania,2007,29
Singapore,2007,
Laos,2007,
Ireland,2007,
Albania,2007,
Italy,2007,271
New Zealand,2007,552
Denmark,2007,
Latvia,2007,30
Estonia,2007,2
Kuwait,2007,
Belgium,2007,
Japan,2007,
Serbia,2007,
Cyprus,2007,
Turkey,2007,
Croatia,2007,19
USA,2007,80100
France,2007,
Sweden,2007,0
Ukraine,2007,
UK,2007,
Romania,2007,120
Slovakia,2007,
Uzbekistan,2007,0
Germany,2007,17488
Russia,2007,132
Portugal,2007,
Czechia,2007,203
Poland,2007,284
Bulgaria,2007,31
Austria,2007,1208
Belarus,2007,6
Hungary,2007,78
Switzerland,2007,
Vietnam,2007,
Netherlands,2008,
Singapore,2008,
Slovakia,2008,25
Greece,2008,9
Ireland,2008,
Serbia,2008,
Lithuania,2008,25
Belgium,2008,
Estonia,2008,6
Latvia,2008,17
China,2008,150
Laos,2008,
Japan,2008,
Albania,2008,
Sweden,2008,0
Kuwait,2008,
Norway,2008,
Cyprus,2008,1
Italy,2008,162
Slovenia,2008,
Denmark,2008,
Poland,2008,301
Czechia,2008,406
Russia,2008,94
Turkey,2008,
Uzbekistan,2008,
USA,2008,79078
Ukraine,2008,
UK,2008,
Romania,2008,10
France,2008,
Vietnam,2008,
Germany,2008,0
Belarus,2008,
Portugal,2008,16
Finland,2008,
Switzerland,2008,
Bulgaria,2008,19
Austria,2008,1439
New Zealand,2008,554
Hungary,2008,395
Croatia,2008,9
Portugal,2009,176
Netherlands,2009,
Russia,2009,360
New Zealand,2009,484
Sweden,2009,
Czechia,2009,418
Poland,2009,
Norway,2009,
Lithuania,2009,17
Slovakia,2009,23
USA,2009,78150
Slovenia,2009,
Serbia,2009,
Romania,2009,26
Laos,2009,
Switzerland,2009,213
Ukraine,2009,
Latvia,2009,14
Japan,2009,
Singapore,2009,
Ireland,2009,120
Belgium,2009,
Belarus,2009,
Italy,2009,198
Kuwait,2009,
Hungary,2009,291
Finland,2009,71
Greece,2009,5
China,2009,
Croatia,2009,8
Vietnam,2009,
Austria,2009,1153
Uzbekistan,2009,
France,2009,
Cyprus,2009,5
Estonia,2009,7
Denmark,2009,
Germany,2009,0
Albania,2009,
Bulgaria,2009,22
China,2010,
Denmark,2010,
Belarus,2010,11
Ukraine,2010,
Cyprus,2010,1
Norway,2010,
Sweden,2010,
Finland,2010,125
Germany,2010,
France,2010,1155
Croatia,2010,6
Greece,2010,
Bulgaria,2010,12
Serbia,2010,
Vietnam,2010,
Lithuania,2010,17
Belgium,2010,
Ireland,2010,120
Japan,2010,
Estonia,2010,9
Switzerland,2010,
Romania,2010,19
Slovenia,2010,17
New Zealand,2010,
Slovakia,2010,23
Poland,2010,
Netherlands,2010,
Portugal,2010,178
Russia,2010,461
Austria,2010,1123
Italy,2010,202
Belgiun,2010,
Czechia,2010,458
Singapore,2010,
USA,2010,71875
Laos,2010,
Latvia,2010,11
Hungary,2010,42
Czech Republic,2010,458
Ireland,2011,120
Laos,2011,
Slovenia,2011,55
Romania,2011,0
Estonia,2011,41
Ukraine,2011,
Switzerland,2011,120
Russia,2011,478
Norway,2011,
Singapore,2011,
Slovakia,2011,
Portugal,2011,
Liechtenstein,2011,
USA,2011,70090
Bulgaria,2011,13
Netherlands,2011,
New Zealand,2011,463
Lithuania,2011,
Sweden,2011,
Poland,2011,
Czech Republic,2011,405
Greece,2011,27
Czechia,2011,405
Belgium,2011,
France,2011,
Serbia,2011,55
Italy,2011,164
Vietnam,2011,100
Croatia,2011,
Latvia,2011,27
Germany,2011,
China,2011,
Denmark,2011,
Japan,2011,2475
Cyprus,2011,2
Austria,2011,1103
Hungary,2011,106
Finland,2011,84
Belarus,2011,9
Belgiun,2011,
Belarus,2012,6
Greece,2012,28
France,2012,
Austria,2012,1086
Czechia,2012,225
Croatia,2012,11
Serbia,2012,
Finland,2012,37
Estonia,2012,37
Liechtenstein,2012,
Italy,2012,186
Hungary,2012,143
Japan,2012,2615
Belgium,2012,45
Germany,2012,
Ireland,2012,
Ukraine,2012,
Cyprus,2012,4
China,2012,
Bulgaria,2012,19
Israel,2012,
New Zealand,2012,
Sweden,2012,
Belgiun,2012,45
Slovakia,2012,14
Poland,2012,
USA,2012,69400
Portugal,2012,
Laos,2012,
Norway,2012,
Vietnam,2012,
Lithuania,2012,16
Latvia,2012,27
Russia,2012,247
Denmark,2012,
Slovenia,2012,4
Netherlands,2012,
Romania,2012,28
Switzerland,2012,
Malta,2012,
Czech Republic,2012,225
Slovakia,2013,
Sweden,2013,
Italy,2013,
Czech Republic,2013,168
USA,2013,65880
Switzerland,2013,162
Romania,2013,
Lithuania,2013,20
Latvia,2013,
Estonia,2013,35
Russia,2013,320
Jordan,2013,
Liechtenstein,2013,
Ireland,2013,
Poland,2013,
New Zealand,2013,
Slovenia,2013,5
Norway,2013,
Serbia,2013,30
Hungary,2013,
Austria,2013,
Finland,2013,82
Bulgaria,2013,31
Czechia,2013,168
Netherlands,2013,
Belarus,2013,13
Germany,2013,
Malta,2013,
Cyprus,2013,3
Israel,2013,
Japan,2013,2354
France,2013,133
Ukraine,2013,
Belgiun,2013,30
Vietnam,2013,
Croatia,2013,
Greece,2013,41
Denmark,2013,
Portugal,2013,
Belgium,2013,30
Belarus,2014,11
Portugal,2014,
Greece,2014,
Hungary,2014,53
Bulgaria,2014,25
Estonia,2014,38
Italy,2014,
Belgiun,2014,
Austria,2014,949
New Zealand,2014,
Norway,2014,
Latvia,2014,43
Finland,2014,
Netherlands,2014,
France,2014,
Serbia,2014,34
Croatia,2014,8
Vietnam,2014,
Japan,2014,384
Liechtenstein,2014,
Jordan,2014,
Prepublic of Korea,2014,
Lithuania,2014,22
Denmark,2014,
Sweden,2014,
Switzerland,2014,155
Russia,2014,320
Czech Republic,2014,428
Ukraine,2014,10
Slovakia,2014,
Israel,2014,
USA,2014,63350
Belgium,2014,
Romania,2014,
Germany (only volunteers),2014,1238
Kazachstan,2014,
Luxemburg,2014,
Slovenia,2014,17
Cyprus,2014,
Ireland,2014,
Poland,2014,356
Malta,2014,
Belarus,2015,3
Poland,2015,425
New Zealand,2015,
Lithuania,2015,14
Mongolia,2015,
Jordan,2015,82
Hungary,2015,52
Austria,2015,
Greece,2015,
Norway,2015,
Croatia,2015,11
Liechtenstein,2015,0
Sweden,2015,
Netherlands,2015,
Russia,2015,230
Slovakia,2015,
Slovenia,2015,5
Belgiun,2015,
Japan,2015,
Bulgaria,2015,19
Switzerland,2015,133
Luxemburg,2015,
France,2015,
USA,2015,68085
Belgium,2015,
Vietnam,2015,
Czech Republic,2015,242
Israel,2015,
Malta,2015,0
Estonia,2015,51
Latvia,2015,57
Prepublic of Korea,2015,
Finland,2015,66
Serbia,2015,
Denmark,2015,
Germany (only volunteers),2015,1570
Kazachstan,2015,
Italy,2015,
Cyprus,2015,
Ireland,2015,
Romania,2015,16
Ukraine,2015,34
Ukraine,2016,21
Serbia,2016,
Jordan,2016,76
Italy,2016,
Israel,2016,120
Liechtenstein,2016,
Japan,2016,
Belgium,2016,
Belarus,2016,14
Bulgaria,2016,22
Estonia,2016,52
USA,2016,62085
Croatia,2016,24
Malta,2016,0
Norway,2016,
Mongolia,2016,
Greece,2016,
France,2016,
Cyprus,2016,
Czech Republic,2016,182
Sweden,2016,
Denmark,2016,
Netherlands,2016,
Lithuania,2016,21
Hungary,2016,72
Austria,2016,
Luxemburg,2016,
Latvia,2016,57
Switzerland,2016,
Kazachstan,2016,
Romania,2016,25
Germany (only volunteers),2016,1344
Slovenia,2016,
Slovakia,2016,
Poland,2016,368
Russia,2016,42
Finland,2016,81
Prepublic of Korea,2016,
Bulgaria,2017,23
Lithuania,2017,23
Switzerland,2017,188
Finland,2017,43
Israel,2017,
Slovenia,2017,
France,2017,
Cyprus,2017,
Estonia,2017,57
Greece,2017,
Czech Republic,2017,182
Mongolia,2017,
Slovakia,2017,
Hungary,2017,72
Russia,2017,
Serbia,2017,
Malta,2017,
Romania,2017,1
Ukraine,2017,15
USA,2017,58835
Belarus,2017,6
Prepublic of Korea,2017,
Kazachstan,2017,
Sweden,2017,
Luxemburg,2017,
Austria,2017,
Belgium,2017,
Japan,2017,
Croatia,2017,101
Jordan,2017,52
Latvia,2017,49
Liechtenstein,2017,
Germany (only volunteers),2017,1102
Poland,2017,204
Kazachstan,2018,11
Estonia,2018,54
Finland,2018,84
Jordan,2018,
Japan,2018,
Luxemburg,2018,27
Greece,2018,16
Ukraine,2018,29
Mongolia,2018,
Latvia,2018,
Slovakia,2018,
Hungary,2018,84
Liechtenstein,2018,0
Israel,2018,
Czech Republic,2018,253
Austria,2018,
Poland,2018,406
Lithuania,2018,
USA,2018,58250
Prepublic of Korea,2018,728
Germany (only volunteers),2018,1194
Malta,2018,
Serbia,2018,
Sweden,2018,113
Switzerland,2018,146
Romania,2018,
Russia,2018,67
Belarus,2018,5
Bulgaria,2018,14
Croatia,2018,22
Slovenia,2018,6
Mongolia,2019,6
Poland,2019,1698
Slovenia,2019,146
Romania,2019,
Russia,2019,
Slovakia,2019,45
USA,2019,60225
Sweden,2019,103
Switzerland,2019,
Prepublic of Korea,2019,
Malta,2019,
Jordan,2019,124
Lithuania,2019,29
Belarus,2019,
Bulgaria,2019,
Croatia,2019,17
Czech Republic,2019,217
Estonia,2019,52
Finland,2019,
Luxemburg,2019,
Germany (only volunteers),2019,
Hungary,2019,67
Israel,2019,
Japan,2019,2229
Kazachstan,2019,25
Latvia,2019,67
Liechtenstein,2019,0
Greece,2019,13
Ukraine,2019,25
