Countries;Years;Number of injuries;Number of injuries;Years
Canada;1999;2287;69267;1999
Czech Republic;1999;65;69678;2000
Israel;1999;288;64437;2001
Japan;1999;7576;51856;2002
Korea South;1999;1825;64882;2006
Kuwait;1999;126;64124;2007
Malaysia;1999;73;68013;2008
Mongolia;1999;44;51024;2009
Netherlands;1999;1352;50787;2010
New Zealand;1999;312;64679;2011
Poland;1999;;77062;2012
Russia;1999;14525;71865;2013
Singapore;1999;78;74670;2014
Taiwan;1999;643;63244;2015
UK;1999;18198;58406;2016
USA;1999;21875;57004;2017
Canada;2000;2490;58301;2018
Czech Republic;2000;66;57281;2019
Israel;2000;348;;
Japan;2000;8281;;
Korea South;2000;1853;;
Kuwait;2000;172;;
Malaysia;2000;42;;
Mongolia;2000;26;;
Netherlands;2000;1227;;
New Zealand;2000;297;;
Poland;2000;;;
Russia;2000;14034;;
Singapore;2000;114;;
Taiwan;2000;732;;
UK;2000;17646;;
USA;2000;22350;;
Canada;2001;;;
Czech Republic;2001;41;;
Israel;2001;307;;
Japan;2001;8244;;
Korea South;2001;1860;;
Kuwait;2001;112;;
Malaysia;2001;81;;
Mongolia;2001;27;;
Netherlands;2001;;;
New Zealand;2001;359;;
Poland;2001;;;
Russia;2001;14129;;
Singapore;2001;70;;
Taiwan;2001;807;;
UK;2001;17300;;
USA;2001;21100;;
Canada;2002;;;
Czech Republic;2002;45;;
Israel;2002;;;
Japan;2002;;;
Korea South;2002;;;
Kuwait;2002;;;
Malaysia;2002;;;
Mongolia;2002;;;
Netherlands;2002;;;
New Zealand;2002;441;;
Poland;2002;1990;;
Russia;2002;14481;;
Singapore;2002;74;;
Taiwan;2002;;;
UK;2002;16400;;
USA;2002;18425;;
Austria;2006;854;;
Belarus;2006;;;
Bulgaria;2006;290;;
Croatia;2006;;;
Cyprus;2006;;;
Czech Republic;2006;;;
Estonia;2006;;;
Finland;2006;461;;
France;2006;11192;;
Greece;2006;;;
Hungary;2006;583;;
Italy;2006;345;;
Latvia;2006;318;;
Lithuania;2006;308;;
Malaysia;2006;86;;
Netherland;2006;1089;;
New Zealand;2006;405;;
Poland;2006;;;
Portugal;2006;;;
Romania;2006;;;
Russia;2006;17223;;
Serbia;2006;257;;
Singapore;2006;91;;
Slovakia;2006;185;;
Sweden;2006;1195;;
UK;2006;13600;;
Ukraine;2006;;;
USA;2006;16400;;
Austria;2007;106;;
Belarus;2007;382;;
Bulgaria;2007;306;;
Croatia;2007;147;;
Cyprus;2007;0;;
Czech Republic;2007;1023;;
Estonia;2007;133;;
Finland;2007;563;;
France;2007;12439;;
Greece;2007;146;;
Hungary;2007;583;;
Italy;2007;375;;
Latvia;2007;271;;
Lithuania;2007;270;;
Malaysia;2007;67;;
Netherland;2007;;;
New Zealand;2007;371;;
Poland;2007;;;
Portugal;2007;;;
Romania;2007;381;;
Russia;2007;13688;;
Serbia;2007;316;;
Singapore;2007;96;;
Slovakia;2007;234;;
Sweden;2007;1352;;
UK;2007;13200;;
Ukraine;2007;;;
USA;2007;17675;;
Austria;2008;;;
Belarus;2008;;;
Bulgaria;2008;320;;
Croatia;2008;98;;
Cyprus;2008;;;
Czech Republic;2008;1109;;
Estonia;2008;102;;
Finland;2008;;;
France;2008;14159;;
Greece;2008;118;;
Hungary;2008;492;;
Italy;2008;299;;
Japan;2008;;;
Kazachstan;2008;;;
Kyrgyzstan;2008;117;;
Latvia;2008;245;;
Lithuania;2008;242;;
Malaysia;2008;;;
Netherland;2008;843;;
New Zealand;2008;361;;
Norway;2008;;;
Poland;2008;3383;;
Portugal;2008;8;;
Romania;2008;499;;
Russia;2008;12887;;
Serbia;2008;307;;
Singapore;2008;122;;
Slovakia;2008;232;;
Sweden;2008;1158;;
UK;2008;12200;;
Ukraine;2008;1817;;
USA;2008;16705;;
Vietnam;2008;190;;
Austria;2009;;;
Belarus;2009;473;;
Bulgaria;2009;298;;
Croatia;2009;99;;
Cyprus;2009;32;;
Czech Republic;2009;980;;
Estonia;2009;110;;
Finland;2009;729;;
France;2009;13637;;
Great Britain;2009;;;
Greece;2009;40;;
Hungary;2009;609;;
Italy;2009;85;;
Japan;2009;;;
Kazachstan;2009;;;
Kyrgyzstan;2009;69;;
Latvia;2009;194;;
Lithuania;2009;211;;
Malaysia;2009;;;
Moldova;2009;;;
Mongolia;2009;41;;
Netherland;2009;;;
New Zealand;2009;380;;
Norway;2009;;;
Poland;2009;;;
Portugal;2009;106;;
Romania;2009;563;;
Russia;2009;13269;;
Serbia;2009;262;;
Singapore;2009;127;;
Slovakia;2009;245;;
Slovenia;2009;;;
Sweden;2009;1235;;
UK;2009;;;
Ukraine;2009;;;
USA;2009;17050;;
Vietnam;2009;180;;
Austria;2010;;;
Belarus;2010;481;;
Belgium;2010;;;
Bulgaria;2010;292;;
Croatia;2010;92;;
Cyprus;2010;20;;
Czech Republic;2010;1060;;
Estonia;2010;102;;
Finland;2010;639;;
France;2010;13513;;
Great Britain;2010;;;
Greece;2010;;;
Hungary;2010;455;;
Italy;2010;101;;
Japan;2010;;;
Kazachstan;2010;723;;
Kyrgyzstan;2010;46;;
Latvia;2010;242;;
Lithuania;2010;215;;
Malaysia;2010;;;
Moldova;2010;60;;
Mongolia;2010;55;;
Netherland;2010;;;
New Zealand;2010;276;;
Norway;2010;;;
Poland;2010;;;
Portugal;2010;250;;
Romania;2010;442;;
Russia;2010;13117;;
Serbia;2010;311;;
Singapore;2010;143;;
Slovakia;2010;244;;
Slovenia;2010;;;
Sweden;2010;;;
UK;2010;;;
Ukraine;2010;;;
USA;2010;17720;;
Vietnam;2010;188;;
Belarus;2011;483;;
Belgium;2011;;;
Bulgaria;2011;337;;
Croatia;2011;99;;
Cyprus;2011;68;;
Czech Republic;2011;1152;;
Estonia;2011;87;;
Finland;2011;531;;
France;2011;14682;;
Great Britain;2011;;;
Greece;2011;133;;
Hungary;2011;974;;
Italy;2011;71;;
Japan;2011;7286;;
Kazachstan;2011;1038;;
Kyrgyzstan;2011;71;;
Latvia;2011;252;;
Lithuania;2011;;;
Moldova;2011;40;;
Mongolia;2011;60;;
Netherland;2011;;;
New Zealand;2011;302;;
Norway;2011;361;;
Poland;2011;;;
Portugal;2011;;;
Romania;2011;464;;
Russia;2011;12516;;
Serbia;2011;370;;
Singapore;2011;165;;
Slovakia;2011;235;;
Slovenia;2011;;;
Sweden;2011;1353;;
UK;2011;;;
Ukraine;2011;;;
USA;2011;17500;;
Vietnam;2011;215;;
Armenia;2012;;;
Bangladesh;2012;759;;
Belarus;2012;391;;
Belgium;2012;1279;;
Brunei;2012;1;;
Bulgaria;2012;351;;
Croatia;2012;126;;
Cyprus;2012;30;;
Czech Republic;2012;1286;;
Estonia;2012;80;;
Finland;2012;529;;
France;2012;15107;;
Great Britain;2012;11383;;
Greece;2012;99;;
Hungary;2012;912;;
Italy;2012;1374;;
Japan;2012;6826;;
Jordan;2012;1077;;
Kazachstan;2012;1112;;
Kuwait;2012;140;;
Kyrgyzstan;2012;74;;
Latvia;2012;283;;
Lithuania;2012;226;;
Malaysia;2012;152;;
Moldova;2012;53;;
Mongolia;2012;40;;
Myanmar;2012;295;;
Nepal;2012;134;;
New Zealand;2012;;;
Norway;2012;242;;
Portugal;2012;;;
Qatar;2012;85;;
Romania;2012;498;;
Russia;2012;12229;;
Serbia;2012;;;
Singapore;2012;199;;
Slovakia;2012;232;;
Slovenia;2012;231;;
Sweden;2012;587;;
Taiwan;2012;286;;
Ukraine;2012;1682;;
USA;2012;16500;;
Vietnam;2012;172;;
Armenia;2013;;;
Bangladesh;2013;1385;;
Belarus;2013;471;;
Belgium;2013;1076;;
Brunei;2013;22;;
Bulgaria;2013;305;;
CostaRica;2013;88;;
Croatia;2013;;;
Cyprus;2013;26;;
Czech Republic;2013;1189;;
Estonia;2013;99;;
Finland;2013;621;;
France;2013;14068;;
Great Britain;2013;10300;;
Greece;2013;89;;
Hungary;2013;774;;
Italy;2013;691;;
Japan;2013;6858;;
Jordan;2013;1024;;
Kazachstan;2013;1034;;
Kuwait;2013;138;;
Kyrgyzstan;2013;80;;
Latvia;2013;252;;
Lithuania;2013;209;;
Malaysia;2013;165;;
Moldova;2013;47;;
Mongolia;2013;;;
Myanmar;2013;168;;
Nepal;2013;115;;
New Zealand;2013;;;
Norway;2013;306;;
Poland;2013;;;
Portugal;2013;;;
Qatar;2013;102;;
Romania;2013;;;
Russia;2013;11132;;
Serbia;2013;398;;
Singapore;2013;95;;
Slovakia;2013;;;
Slovenia;2013;63;;
Sweden;2013;630;;
Taiwan;2013;189;;
Ukraine;2013;1585;;
USA;2013;15925;;
Vietnam;2013;146;;
Armenia;2014;;;
Bangladesh;2014;210;;
Belarus;2014;421;;
Belgium;2014;;;
Brunei;2014;12;;
Bulgaria;2014;263;;
CostaRica;2014;67;;
Croatia;2014;71;;
Cyprus;2014;;;
Czech Republic;2014;1179;;
Estonia;2014;61;;
Finland;2014;851;;
France;2014;13703;;
Great Britain;2014;9754;;
Greece;2014;64;;
Hungary;2014;729;;
Italy;2014;955;;
Japan;2014;6560;;
Jordan;2014;1133;;
Kazachstan;2014;1011;;
Kuwait;2014;175;;
Kyrgyzstan;2014;51;;
Latvia;2014;283;;
Liechtenstein;2014;;;
Lithuania;2014;193;;
Malaysia;2014;389;;
Moldova;2014;53;;
Mongolia;2014;64;;
Myanmar;2014;181;;
Nepal;2014;0;;
New Zealand;2014;;;
Norway;2014;284;;
Poland;2014;4697;;
Portugal;2014;;;
Qatar;2014;93;;
Republic of Korea;2014;1856;;
Romania;2014;;;
Russia;2014;10997;;
Serbia;2014;338;;
Singapore;2014;111;;
Slovakia;2014;196;;
Slovenia;2014;53;;
Sweden;2014;;;
Taiwan;2014;244;;
Ukraine;2014;1450;;
USA;2014;15775;;
Vietnam;2014;143;;
Armenia;2015;40;;
Bangladesh;2015;216;;
Belarus;2015;281;;
Belgium;2015;;;
Brunei;2015;5;;
Bulgaria;2015;339;;
CostaRica;2015;66;;
Croatia;2015;84;;
Cyprus;2015;;;
Czech Republic;2015;1449;;
Egypt;2015;;;
Estonia;2015;76;;
Finland;2015;665;;
France;2015;;;
Great Britain;2015;9233;;
Greece;2015;63;;
Hungary;2015;835;;
Italy;2015;1263;;
Japan;2015;6309;;
Jordan;2015;1454;;
Kazachstan;2015;963;;
Kuwait;2015;139;;
Kyrgyzstan;2015;54;;
Latvia;2015;304;;
Liechtenstein;2015;;;
Lithuania;2015;206;;
Malaysia;2015;1471;;
Moldova;2015;45;;
Mongolia;2015;44;;
Myanmar;2015;;;
Nepal;2015;2;;
New Zealand;2015;125;;
Norway;2015;;;
Poland;2015;4984;;
Qatar;2015;73;;
Republic of Korea;2015;1837;;
Romania;2015;818;;
Russia;2015;10962;;
Serbia;2015;411;;
Singapore;2015;111;;
Slovakia;2015;242;;
Slovenia;2015;21;;
Sweden;2015;;;
Taiwan;2015;733;;
Ukraine;2015;1357;;
USA;2015;15700;;
Vietnam;2015;264;;
Armenia;2016;46;;
Bangladesh;2016;;;
Belarus;2016;282;;
Belgium;2016;;;
Brunei;2016;5;;
Bulgaria;2016;298;;
CostaRica;2016;67;;
Croatia;2016;104;;
Cyprus;2016;;;
Czech Republic;2016;1291;;
Egypt;2016;;;
Estonia;2016;110;;
Finland;2016;795;;
France;2016;1127;;
Great Britain;2016;9534;;
Greece;2016;53;;
Hungary;2016;811;;
Italy;2016;1609;;
Japan;2016;5899;;
Jordan;2016;1139;;
Kazachstan;2016;566;;
Kuwait;2016;199;;
Kyrgyzstan;2016;77;;
Latvia;2016;302;;
Liechtenstein;2016;;;
Lithuania;2016;204;;
Malaysia;2016;;;
Moldova;2016;;;
Mongolia;2016;;;
Myanmar;2016;;;
Nepal;2016;26;;
New Zealand;2016;;;
Norway;2016;;;
Poland;2016;4573;;
Qatar;2016;43;;
Republic of Korea;2016;1718;;
Romania;2016;659;;
Russia;2016;9905;;
Serbia;2016;349;;
Singapore;2016;62;;
Slovakia;2016;201;;
Slovenia;2016;;;
Sweden;2016;;;
Taiwan;2016;261;;
Ukraine;2016;1351;;
USA;2016;14560;;
Vietnam;2016;180;;
Armenia;2017;54;;
Bangladesh;2017;269;;
Belarus;2017;264;;
Belgium;2017;;;
Brunei;2017;8;;
Bulgaria;2017;301;;
CostaRica;2017;71;;
Croatia;2017;117;;
Cyprus;2017;;;
Czech Republic;2017;1392;;
Egypt;2017;;;
Estonia;2017;102;;
Finland;2017;696;;
France;2017;1226;;
Great Britain;2017;8897;;
Greece;2017;48;;
Hungary;2017;897;;
Italy;2017;;;
Japan;2017;6052;;
Jordan;2017;1089;;
Kazachstan;2017;801;;
Kuwait;2017;265;;
Kyrgyzstan;2017;;;
Latvia;2017;381;;
Liechtenstein;2017;;;
Lithuania;2017;181;;
Malaysia;2017;;;
Moldova;2017;;;
Mongolia;2017;;;
Myanmar;2017;125;;
Nepal;2017;2;;
New Zealand;2017;;;
Norway;2017;;;
Poland;2017;4328;;
Qatar;2017;;;
Republic of Korea;2017;1852;;
Romania;2017;712;;
Russia;2017;9355;;
Serbia;2017;474;;
Singapore;2017;60;;
Slovakia;2017;224;;
Slovenia;2017;;;
Sweden;2017;414;;
Taiwan;2017;;;
Ukraine;2017;1474;;
USA;2017;14670;;
Vietnam;2017;203;;
Armenia;2018;;;
Bangladesh;2018;664;;
Belarus;2018;311;;
Brunei;2018;;;
Bulgaria;2018;295;;
CostaRica;2018;73;;
Croatia;2018;117;;
Czech Republic;2018;1466;;
Egypt;2018;;;
Estonia;2018;100;;
Finland;2018;670;;
France;2018;1282;;
Great Britain;2018;8944;;
Greece;2018;187;;
Hungary;2018;832;;
Italy;2018;;;
Japan;2018;6114;;
Jordan;2018;1058;;
Kazachstan;2018;412;;
Kuwait;2018;;;
Kyrgyzstan;2018;54;;
Latvia;2018;301;;
Liechtenstein;2018;0;;
Lithuania;2018;174;;
Malaysia;2018;;;
Moldova;2018;;;
Mongolia;2018;;;
Myanmar;2018;;;
Nepal;2018;30;;
New Zealand;2018;;;
Norway;2018;;;
Poland;2018;4335;;
Qatar;2018;115;;
Republic of Korea;2018;2225;;
Romania;2018;663;;
Russia;2018;9650;;
Serbia;2018;347;;
Singapore;2018;90;;
Slovakia;2018;194;;
Slovenia;2018;284;;
Sweden;2018;390;;
Taiwan;2018;;;
Ukraine;2018;1516;;
USA;2018;15200;;
Vietnam;2018;208;;
Armenia;2019;;;
Bangladesh;2019;;;
Belarus;2019;444;;
Brunei;2019;8;;
Bulgaria;2019;293;;
CostaRica;2019;;;
Croatia;2019;166;;
Czech Republic;2019;1388;;
Egypt;2019;1203;;
Estonia;2019;113;;
Finland;2019;;;
France;2019;1289;;
Great Britain;2019;8750;;
Greece;2019;36;;
Hungary;2019;758;;
Italy;2019;;;
Japan;2019;5865;;
Jordan;2019;1092;;
Kazachstan;2019;978;;
Kuwait;2019;;;
Kyrgyzstan;2019;;;
Latvia;2019;279;;
Liechtenstein;2019;;;
Lithuania;2019;164;;
Malaysia;2019;;;
Moldova;2019;;;
Mongolia;2019;68;;
Myanmar;2019;226;;
Nepal;2019;;;
New Zealand;2019;;;
Poland;2019;3782;;
Qatar;2019;;;
Republic of Korea;2019;2219;;
Romania;2019;;;
Russia;2019;8461;;
Serbia;2019;;;
Singapore;2019;142;;
Slovakia;2019;343;;
Slovenia;2019;209;;
Sweden;2019;882;;
Taiwan;2019;;;
Ukraine;2019;1523;;
USA;2019;16600;;
Vietnam;2019;;;
